,name,ban
0,가나,1
1,가봉,1
2,가이아나공화국,1
3,감비아,1
4,과테말라,1
5,그레나다,1
6,그리스,1
7,기니,1
8,기니비사우,1
9,나미비아,1
10,나우루,1
11,나이지리아,1
12,남수단,0
13,남아프리카공화국,1
14,네덜란드,1
15,네팔,1
16,노르웨이,1
17,뉴질랜드,1
18,니우에,1
19,니제르,1
20,니카라과,1
21,대만,1
22,덴마크,1
23,도미니카공화국,1
24,도미니카연방,1
25,독일,1
26,동티모르,1
27,라오스,1
28,라이베리아,1
29,라트비아,1
30,러시아,1
31,레바논,1
32,레소토,1
33,루마니아,1
34,룩셈부르크,1
35,르완다,1
36,리비아,1
37,리투아니아,1
38,리히텐슈타인,1
39,마다가스카르,1
40,마셜제도,1
41,마카오(중국),1
42,말라위,1
43,말레이시아,1
44,말리,0
45,멕시코,1
46,모나코,1
47,모로코,1
48,모리셔스,1
49,모리타니아,1
50,모잠비크,1
51,몬테네그로,1
52,몰도바,1
53,몰디브,1
54,몰타,1
55,몽골,1
56,미국,1
57,미얀마,1
58,미크로네시아,1
59,바누아투,1
60,바레인,1
61,바베이도스,1
62,바하마,1
63,방글라데시,1
64,베냉,1
65,베네수엘라,0
66,베트남,1
67,벨기에,1
68,벨라루스,1
69,벨리즈,1
70,보스니아-헤르체고비나,1
71,보츠와나,1
72,볼리비아,1
73,부룬디,1
74,부르키나파소,1
75,부탄,1
76,북마케도니아,1
77,불가리아,1
78,브라질,1
79,브루나이,1
80,사모아,1
81,사우디아라비아,1
82,사이프러스,1
83,산마리노,1
84,상투메프린시페,1
85,세네갈,1
86,세르비아,1
87,세이셸,1
88,세인트루시아,1
89,세인트빈센트그레나딘,1
90,세인트키츠네비스,1
91,소말리아,1
92,솔로몬제도,1
93,수단,1
94,수리남,1
95,스리랑카,1
96,스웨덴,1
97,스위스,1
98,스페인,1
99,슬로바키아,1
100,슬로베니아,1
101,시리아,1
102,시에라리온,1
103,싱가포르,1
104,아랍에미리트,1
105,아르메니아,1
106,아르헨티나,1
107,아이슬란드,1
108,아이티,0
109,아일랜드,1
110,아제르바이잔,1
111,아프가니스탄,1
112,안도라,1
113,알바니아,1
114,알제리,1
115,앙골라,1
116,앤티가바부다,1
117,에리트레아,1
118,에스와티니,1
119,에스토니아,1
120,에콰도르,1
121,에티오피아,1
122,엘살바도르,1
123,영국,1
124,예멘,1
125,오만,1
126,오스트리아,1
127,온두라스,1
128,요르단,1
129,우간다,1
130,우루과이,1
131,우즈베키스탄,1
132,우크라이나,1
133,이라크,1
134,이란,1
135,이스라엘,1
136,이집트,1
137,이탈리아,1
138,인도,1
139,인도네시아,1
140,일본,1
141,자메이카,1
142,잠비아,1
143,적도기니,1
144,조지아,1
145,중국,1
146,중앙아프리카공화국,0
147,지부티,1
148,짐바브웨,1
149,차드,0
150,체코,1
151,칠레,1
152,카메룬,1
153,카보베르데,1
154,카자흐스탄,1
155,카타르,1
156,캄보디아,1
157,캐나다,1
158,케냐,1
159,코모로,1
160,코소보,1
161,코스타리카,1
162,코트디부아르,1
163,콜롬비아,1
164,콩고,1
165,콩고민주공화국,1
166,쿠바,1
167,쿠웨이트,1
168,쿡제도,1
169,크로아티아,1
170,키르기스스탄,1
171,키리바시,1
172,타지키스탄,1
173,탄자니아,1
174,태국,1
175,터키,1
176,토고,1
177,통가,1
178,투르크메니스탄,1
179,투발루,1
180,튀니지,1
181,트리니다드토바고,1
182,파나마,1
183,파라과이,1
184,파키스탄,1
185,파푸아뉴기니,1
186,팔라우,1
187,페루,1
188,포르투갈,1
189,폴란드,1
190,프랑스,1
191,피지,1
192,핀란드,1
193,필리핀,1
194,헝가리,1
195,호주,1
196,홍콩(중국),1
