"A 행정구역(시군구)별",M202002 2020. 02,M202002 2020. 02,M202002 2020. 02,M202001 2020. 01,M202001 2020. 01,M202001 2020. 01,M201912 2019. 12,M201912 2019. 12,M201912 2019. 12
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"00 전국",51844627,25860491,25984136,51847509,25862863,25984646,51849861,25864816,25985045
"11 서울특별시",9736962,4745133,4991829,9733509,4745088,4988421,9729107,4744059,4985048
"26 부산광역시",3410925,1673266,1737659,3411819,1674202,1737617,3413841,1675417,1738424
"27 대구광역시",2432883,1202364,1230519,2436488,1204387,1232101,2438031,1205286,1232745
"28 인천광역시",2954955,1481133,1473822,2956119,1481749,1474370,2957026,1482249,1474777
"29 광주광역시",1456121,720686,735435,1456688,720931,735757,1456468,720740,735728
"30 대전광역시",1473125,735791,737334,1474152,736259,737893,1474870,736607,738263
"31 울산광역시",1145710,588626,557084,1147037,589233,557804,1148019,589712,558307
"36 세종특별자치시",343788,171403,172385,342328,170729,171599,340575,169845,170730
"41 경기도",13265377,6672706,6592671,13250368,6665310,6585058,13239666,6659995,6579671
"42 강원도",1539521,774358,765163,1540540,774866,765674,1541502,775386,766116
"43 충청북도",1598599,809805,788794,1599391,810129,789262,1600007,810384,789623
"44 충청남도",2120995,1081153,1039842,2122455,1081552,1040903,2123709,1081938,1041771
"45 전라북도",1815112,902365,912747,1817302,903385,913917,1818917,904110,914807
"46 전라남도",1861894,934900,926994,1864712,935962,928750,1868745,937674,931071
"47 경상북도",2658956,1338907,1320049,2662508,1340346,1322162,2665836,1342037,1323799
"48 경상남도",3358828,1690600,1668228,3361344,1691504,1669840,3362553,1692032,1670521
"50 제주특별자치도",670876,337295,333581,670749,337231,333518,670989,337345,333644
